product_id,sales_year,sales_week of year,sales_product_quantity
242,2021,1,8270
242,2021,2,1860
242,2021,3,6390
242,2021,4,6191
242,2021,5,6734
242,2021,6,7265
242,2021,7,1466
242,2021,8,5426
242,2021,9,6578
242,2021,10,9322
242,2021,11,2685
242,2021,12,1769
242,2021,13,7949
242,2021,14,3433
242,2021,15,6311
242,2021,16,6051
242,2021,17,7420
242,2021,18,2184
242,2021,19,5555
242,2021,20,4385
242,2021,21,7396
242,2021,22,9666
242,2021,23,3558
242,2021,24,8849
242,2021,25,3047
242,2021,26,3747
242,2021,27,1189
242,2021,28,3734
242,2021,29,4005
242,2021,30,5658
242,2021,31,2899
242,2021,32,8734
242,2021,33,2267
242,2021,34,2528
242,2021,35,4556
242,2021,36,4890
242,2021,37,9838
242,2021,38,6393
242,2021,39,9792
242,2021,40,9433
242,2021,41,8513
242,2021,42,3612
242,2021,43,8041
242,2021,44,7235
242,2021,45,6486
242,2021,46,8099
242,2021,47,1775
242,2021,48,9226
242,2021,49,4152
242,2021,50,2585
242,2021,51,4943
242,2021,52,8555
242,2022,1,4073
242,2022,2,2021
242,2022,3,4843
242,2022,4,8989
242,2022,5,7873
242,2022,6,6675
242,2022,7,1161
242,2022,8,5297
242,2022,9,1995
242,2022,10,8629
242,2022,11,2016
242,2022,12,8869
242,2022,13,7439
242,2022,14,8892
242,2022,15,7863
242,2022,16,8916
242,2022,17,9529
242,2022,18,1878
242,2022,19,5887
242,2022,20,5859
242,2022,21,7331
242,2022,22,9571
242,2022,23,9684
242,2022,24,8208
242,2022,25,6276
242,2022,26,3062
242,2022,27,1064
242,2022,28,9006
242,2022,29,3568
242,2022,30,6463
242,2022,31,3027
242,2022,32,3695
242,2022,33,6258
242,2022,34,6618
242,2022,35,7736
242,2022,36,1391
242,2022,37,6892
242,2022,38,4561
242,2022,39,7184
242,2022,40,4099
242,2022,41,7278
242,2022,42,9392
242,2022,43,4104
242,2022,44,8215
242,2022,45,3454
242,2022,46,9996
242,2022,47,3731
242,2022,48,9154
242,2022,49,6056
242,2022,50,9110
242,2022,51,4840
242,2022,52,2028
242,2023,1,8385
242,2023,2,1502
242,2023,3,7910
242,2023,4,7938
242,2023,5,5488
242,2023,6,1206
242,2023,7,6134
242,2023,8,6977
242,2023,9,8721
242,2023,10,8035
242,2023,11,2484
242,2023,12,8858
242,2023,13,1863
242,2023,14,3790
242,2023,15,8408
242,2023,16,9755
242,2023,17,6116
242,2023,18,7019
242,2023,19,2757
242,2023,20,8574
242,2023,21,7374
242,2023,22,7892
242,2023,23,2678
242,2023,24,4242
242,2023,25,5636
242,2023,26,2059
242,2023,27,7668
242,2023,28,4157
242,2023,29,6915
242,2023,30,3693
242,2023,31,4627
242,2023,32,6450
242,2023,33,2663
242,2023,34,6592
242,2023,35,8392
242,2023,36,2306
242,2023,37,7776
242,2023,38,6864
242,2023,39,8526
242,2023,40,9901
242,2023,41,6575
242,2023,42,6530
242,2023,43,5413
242,2023,44,4748
242,2023,45,1663
242,2023,46,2998
242,2023,47,8994
242,2023,48,2495
242,2023,49,4304
242,2023,50,4763
242,2023,51,6232
242,2023,52,2853
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
